genes	cpgs	mean_max_frequency_weight
ENSG00000198242	cg00002593	7809516.494024249
ENSG00000167578	cg00001874	7791418.260544568
ENSG00000179262	cg00003513	7791316.4304387905
ENSG00000280159	cg00000363	7790337.343485123
ENSG00000008517	cg00000165	7772101.768814556
ENSG00000269416	cg00002809	7769870.812589885
ENSG00000206072	cg00003305	7767990.653521444
ENSG00000240423	cg00004055	7750310.262910883
ENSG00000134108	cg00002531	7747105.679820393
ENSG00000057294	cg00002145	7743565.170213682
ENSG00000127511	cg00003784	7740971.079941839
ENSG00000127511	cg00002837	7736385.46180635
ENSG00000242041	cg00002236	7720622.382516162
ENSG00000158486	cg00000924	7712172.59337014
ENSG00000057294	cg00003529	7711661.19616322
ENSG00000008517	cg00003994	7711345.745704712
ENSG00000134108	cg00003345	7709626.752295107
ENSG00000206072	cg00002464	7692565.274191028
ENSG00000227766	cg00002145	7688835.62609239
ENSG00000264576	cg00002597	7686923.566759556
ENSG00000158486	cg00001510	7682113.923853741
ENSG00000198242	cg00000714	7675367.677304225
ENSG00000134108	cg00001809	7671270.332672679
ENSG00000167578	cg00000658	7668690.981063581
ENSG00000233540	cg00000658	7665564.992369431
ENSG00000078237	cg00003529	7664895.414433897
ENSG00000273055	cg00001261	7661695.813581815
ENSG00000088179	cg00003784	7656469.679542231
ENSG00000231105	cg00004089	7647412.512629966
ENSG00000167700	cg00004072	7635901.566749089
ENSG00000270112	cg00000769	7624517.4065367095
ENSG00000064225	cg00002719	7624435.221937774
ENSG00000214062	cg00003181	7624389.959240402
ENSG00000264104	cg00002591	7623096.715272023
ENSG00000242041	cg00004089	7612653.905813821
ENSG00000179262	cg00002145	7610012.262795367
ENSG00000167768	cg00000321	7609153.965949653
ENSG00000161558	cg00001583	7603510.561605787
ENSG00000134108	cg00000658	7603439.422938114
ENSG00000146083	cg00003202	7603292.5269672675
ENSG00000276644	cg00000905	7601114.66705181
ENSG00000167578	cg00002810	7599842.979841122
ENSG00000070081	cg00003287	7573685.239866933
ENSG00000214062	cg00002591	7565355.548043121
ENSG00000235240	cg00001809	7562180.369479558
ENSG00000070081	cg00000236	7556313.896431696
ENSG00000227535	cg00000948	7552631.551813098
ENSG00000153561	cg00003513	7544221.857087611
ENSG00000166391	cg00000622	7543532.263852278
ENSG00000102174	cg00003202	7542043.062548475
ENSG00000254131	cg00000292	7541723.896537263
ENSG00000269148	cg00003529	7530932.714296479
ENSG00000070081	cg00000721	7530358.622569779
ENSG00000206072	cg00002236	7525556.713021396
ENSG00000275479	cg00003969	7521937.976930129
ENSG00000167578	cg00002490	7518721.974090455
ENSG00000146083	cg00003298	7514221.992053046
ENSG00000269416	cg00002930	7508452.513084199
ENSG00000231105	cg00003578	7504821.100675434
ENSG00000153561	cg00003287	7500925.527593003
ENSG00000088179	cg00003305	7499647.2966408525
ENSG00000227766	cg00002769	7488923.320736398
ENSG00000146083	cg00002116	7488586.15060061
ENSG00000233540	cg00000948	7474058.489648381
ENSG00000070087	cg00004055	7467485.429291323
ENSG00000254131	cg00000321	7461480.007446812
ENSG00000269148	cg00002406	7453725.910667534
ENSG00000215246	cg00003287	7452556.302815968
ENSG00000236893	cg00002190	7444212.787282516
ENSG00000153561	cg00000924	7438508.785443999
ENSG00000185105	cg00001364	7436781.968962233
ENSG00000267108	cg00002837	7432249.604502453
ENSG00000264104	cg00003173	7424973.077996498
ENSG00000064225	cg00000292	7424914.891173438
ENSG00000008517	cg00001510	7415179.540659304
ENSG00000182141	cg00000321	7403850.289991167
ENSG00000057294	cg00002591	7399921.264706814
ENSG00000167700	cg00003298	7395656.327781116
ENSG00000185105	cg00002769	7390746.905564947
ENSG00000214198	cg00003625	7385570.420718306
ENSG00000161558	cg00002406	7383554.488397588
ENSG00000263089	cg00001510	7379473.756639616
ENSG00000227766	cg00003994	7377399.455614329
ENSG00000276644	cg00000165	7374191.483572716
ENSG00000197421	cg00000321	7369134.854723103
ENSG00000270469	cg00000721	7366438.356712171
ENSG00000167700	cg00002236	7361955.082685414
ENSG00000214062	cg00000905	7361452.56190755
ENSG00000215246	cg00001261	7360970.599039675
ENSG00000266644	cg00003298	7360675.417834294
ENSG00000172137	cg00004089	7358004.74701084
ENSG00000275479	cg00001747	7356048.292869049
ENSG00000227766	cg00002033	7353320.77704892
ENSG00000269416	cg00000734	7351007.666369002
ENSG00000064225	cg00002769	7337538.145771585
ENSG00000179833	cg00004072	7333358.695799219
ENSG00000266261	cg00001874	7332833.405751446
ENSG00000280159	cg00000769	7317036.988015298
ENSG00000242041	cg00002449	7316710.906131363
ENSG00000118972	cg00001364	7300465.058356544
ENSG00000161558	cg00000714	7300180.278700032
ENSG00000088179	cg00004072	7298380.289851052
ENSG00000167700	cg00003305	7297977.156196795
ENSG00000166391	cg00003202	7285794.714724455
ENSG00000166007	cg00002033	7285132.859821679
ENSG00000258630	cg00002145	7284239.480130497
ENSG00000263089	cg00000734	7281711.262354208
ENSG00000060642	cg00004055	7279576.816678018
ENSG00000182141	cg00000948	7278961.524550168
ENSG00000215246	cg00000658	7278289.492792299
ENSG00000204113	cg00002837	7278191.821093048
ENSG00000280038	cg00000236	7269997.025182172
ENSG00000280159	cg00002837	7264518.534131311
ENSG00000278732	cg00002769	7256288.105907363
ENSG00000064225	cg00002646	7248758.961521829
ENSG00000214198	cg00001791	7247172.640411476
ENSG00000258630	cg00001582	7246418.4248106545
ENSG00000258630	cg00003287	7245214.179374622
ENSG00000088179	cg00000721	7231033.302639115
ENSG00000060642	cg00004089	7228662.5765561275
ENSG00000167768	cg00003345	7228295.326761913
ENSG00000254092	cg00000714	7214471.331472536
ENSG00000146083	cg00000321	7214463.8090341445
ENSG00000167768	cg00001245	7208027.158141899
ENSG00000179262	cg00003625	7203465.771595142
ENSG00000254092	cg00000769	7202947.268181135
ENSG00000236893	cg00000957	7192236.235952431
ENSG00000179262	cg00003202	7181447.047939092
ENSG00000167700	cg00002591	7180641.230356683
ENSG00000161558	cg00004055	7175198.5012371885
ENSG00000127511	cg00000292	7163644.35502113
ENSG00000088179	cg00003625	7160132.449456347
ENSG00000057294	cg00001261	7157083.503820736
ENSG00000269416	cg00001582	7133294.405057898
ENSG00000270112	cg00003305	7127996.287157057
ENSG00000167578	cg00002591	7123153.67585755
ENSG00000060642	cg00001261	7122166.645437868
ENSG00000134108	cg00003173	7117586.360451696
ENSG00000280038	cg00001809	7116865.4243711475
ENSG00000206072	cg00000721	7112580.939577561
ENSG00000234943	cg00002593	7102032.629805679
ENSG00000146083	cg00001249	7100057.63735693
ENSG00000231105	cg00002145	7093341.345386852
ENSG00000179262	cg00001249	7083705.4845083775
ENSG00000179262	cg00002719	7065029.223314808
ENSG00000215246	cg00001747	7060588.124406138
ENSG00000153561	cg00002116	7050784.042330928
ENSG00000078237	cg00002449	7029678.005839213
ENSG00000070081	cg00002190	7010493.439541541
ENSG00000266644	cg00000658	7009530.270265781
ENSG00000158486	cg00003181	7008270.618031568
ENSG00000070081	cg00003298	6995249.205064393
ENSG00000262950	cg00000658	6993738.929891415
ENSG00000064601	cg00002145	6992853.937203506
ENSG00000172137	cg00002597	6980435.709036774
ENSG00000127511	cg00002719	6978782.125318127
ENSG00000258630	cg00001809	6949035.3483202085
ENSG00000266261	cg00002190	6948271.655467301
ENSG00000185105	cg00000165	6941925.380460433
ENSG00000274458	cg00002591	6926785.337640446
ENSG00000214198	cg00002810	6922426.415633047
ENSG00000064225	cg00001510	6918654.018210811
ENSG00000254131	cg00000363	6915631.160563354
ENSG00000214062	cg00002719	6906103.43776399
ENSG00000158486	cg00000292	6905604.858945015
ENSG00000064225	cg00002406	6901229.547757292
ENSG00000275479	cg00002236	6897923.801108157
ENSG00000271647	cg00000289	6891918.572744712
ENSG00000263089	cg00001687	6890113.452093897
ENSG00000008517	cg00000321	6888421.252750434
ENSG00000134108	cg00002593	6880904.430577851
ENSG00000127511	cg00000957	6874274.996948445
ENSG00000270469	cg00002531	6873682.770290345
ENSG00000276644	cg00000029	6868310.754746131
ENSG00000161558	cg00003202	6865216.510033819
ENSG00000234943	cg00000292	6863296.171542899
ENSG00000269148	cg00000769	6859580.812337125
ENSG00000266644	cg00003969	6858619.71029831
ENSG00000234943	cg00002224	6851208.147297522
ENSG00000280159	cg00002116	6829243.021868691
ENSG00000254092	cg00000321	6822192.8701026235
ENSG00000197421	cg00002809	6822110.914452239
ENSG00000227766	cg00001874	6818089.5127401585
ENSG00000172137	cg00001249	6815269.066265725
ENSG00000161558	cg00003513	6809270.788345237
ENSG00000269416	cg00003173	6805034.069115338
ENSG00000064601	cg00003625	6794765.042185935
ENSG00000182141	cg00001874	6788743.711437983
ENSG00000146083	cg00004055	6786673.449095983
ENSG00000060642	cg00003513	6785009.264341395
ENSG00000259883	cg00001510	6781860.842021472
ENSG00000088179	cg00000948	6767964.770728839
ENSG00000182141	cg00002406	6757787.535269152
ENSG00000146083	cg00000292	6749639.966086699
ENSG00000127511	cg00003305	6748456.165457813
ENSG00000167768	cg00002033	6744907.279843115
ENSG00000206072	cg00002449	6722611.55551276
ENSG00000280159	cg00003298	6721708.7132429285
ENSG00000266261	cg00002449	6719299.616976472
ENSG00000270112	cg00002810	6707763.0460201185
ENSG00000266644	cg00002236	6699974.531042328
ENSG00000234943	cg00003202	6670341.838414992
ENSG00000273055	cg00003181	6668721.6954091145
ENSG00000266261	cg00001261	6664230.284131109
ENSG00000088179	cg00001583	6659879.13725177
ENSG00000070087	cg00001809	6656789.675407994
ENSG00000095587	cg00002236	6654600.8251017155
ENSG00000261789	cg00002646	6639384.408929468
ENSG00000167578	cg00001583	6632967.40771687
ENSG00000236893	cg00000714	6626095.585707676
ENSG00000215246	cg00003994	6585158.901323114
ENSG00000064225	cg00003305	6584071.994491536
ENSG00000280159	cg00001245	6575349.299577969
ENSG00000280038	cg00000292	6571987.035225172
ENSG00000185105	cg00002033	6558206.449332964
ENSG00000227766	cg00002224	6557077.404243531
ENSG00000064225	cg00003578	6556706.417255736
ENSG00000273055	cg00003784	6554410.240126949
ENSG00000215246	cg00001583	6553439.419038939
ENSG00000280159	cg00001349	6543250.900891968
ENSG00000259883	cg00002224	6540391.674135389
ENSG00000234943	cg00000289	6534716.116734006
ENSG00000146083	cg00003345	6522837.293095374
ENSG00000236040	cg00002809	6520376.473743632
ENSG00000064601	cg00002449	6507866.93716043
ENSG00000158486	cg00001687	6503614.23420349
ENSG00000102174	cg00002930	6495742.557967475
ENSG00000167700	cg00000957	6494897.953675866
ENSG00000206072	cg00001364	6490845.900318811
ENSG00000276644	cg00000734	6483688.715448871
ENSG00000070087	cg00000734	6473196.9257950485
ENSG00000008517	cg00003091	6467936.29377287
ENSG00000259883	cg00001874	6467905.835595594
ENSG00000269148	cg00002033	6455266.671929601
ENSG00000240423	cg00000714	6452327.0219714455
ENSG00000057294	cg00003305	6449179.282370296
ENSG00000008517	cg00001364	6444499.809921403
ENSG00000261789	cg00001249	6444186.117981374
ENSG00000263089	cg00004055	6438898.044345281
ENSG00000134108	cg00002426	6438581.90834947
ENSG00000259883	cg00001446	6430750.020036939
ENSG00000179833	cg00002236	6423527.395082122
ENSG00000215246	cg00002236	6422250.040225528
ENSG00000057294	cg00002116	6413967.398969555
ENSG00000254092	cg00000905	6403770.262101377
ENSG00000070087	cg00000622	6397613.134460583
ENSG00000161558	cg00002930	6393608.573139599
ENSG00000214198	cg00002033	6381420.8938721465
ENSG00000158486	cg00000289	6379949.847547805
ENSG00000270112	cg00002033	6365599.7875362225
ENSG00000088179	cg00003091	6365188.642931893
ENSG00000064601	cg00000292	6352330.880173081
ENSG00000008517	cg00003578	6352051.148190652
ENSG00000206072	cg00001249	6351210.061869459
ENSG00000179262	cg00002190	6347193.408735245
ENSG00000060642	cg00002591	6343783.332268247
ENSG00000197421	cg00001583	6339597.236227003
ENSG00000179833	cg00001582	6328659.508980822
ENSG00000198242	cg00001245	6327648.927943206
ENSG00000008517	cg00001809	6326902.589624279
ENSG00000088179	cg00001687	6292666.867281369
ENSG00000095587	cg00003529	6290372.018990235
ENSG00000166391	cg00002531	6288756.886611866
ENSG00000095587	cg00001364	6280805.200387695
ENSG00000269416	cg00002145	6279257.97329763
ENSG00000269148	cg00002449	6271226.411593096
ENSG00000254092	cg00000236	6229357.72000797
ENSG00000227535	cg00000658	6228437.704359668
ENSG00000102174	cg00002490	6223790.884867557
ENSG00000242041	cg00002426	6202960.320524755
ENSG00000234943	cg00002719	6198072.72202115
ENSG00000273055	cg00002236	6176722.692792053
ENSG00000278732	cg00000658	6166207.6892213365
ENSG00000242041	cg00000292	6165354.942103937
ENSG00000263089	cg00003784	6163710.737538735
ENSG00000161558	cg00000363	6156597.742487698
ENSG00000179833	cg00003784	6154281.229320449
ENSG00000255420	cg00002490	6146433.232178659
ENSG00000198242	cg00001582	6145613.116012791
ENSG00000259883	cg00004082	6141034.064052143
ENSG00000146083	cg00002236	6125401.416485271
ENSG00000267108	cg00001261	6124789.857660125
ENSG00000185105	cg00000734	6123000.391203361
ENSG00000266644	cg00003784	6122258.257452737
ENSG00000060642	cg00002033	6120911.9133264255
ENSG00000215246	cg00000714	6116167.032650052
ENSG00000088179	cg00002591	6111265.901761536
ENSG00000215246	cg00002809	6089622.963002146
ENSG00000185105	cg00002646	6081828.817248898
ENSG00000270469	cg00002593	6072331.227028701
ENSG00000266261	cg00001245	6059290.631074483
ENSG00000167700	cg00001446	6057543.864540986
ENSG00000215246	cg00000236	6053529.763409297
ENSG00000240423	cg00002808	6034898.6372699095
ENSG00000167700	cg00003578	6032843.317049161
ENSG00000064225	cg00003181	6031018.832137177
ENSG00000275479	cg00000948	6015898.308160364
ENSG00000230100	cg00003784	6012799.946554329
ENSG00000146083	cg00002531	6008127.61828155
ENSG00000153561	cg00002449	6003587.395773864
ENSG00000267108	cg00003287	6001593.350365942
ENSG00000070081	cg00000165	5995789.552231363
ENSG00000153561	cg00003578	5992315.561817787
ENSG00000269148	cg00000029	5989346.73673227
ENSG00000153561	cg00002930	5986748.96270104
ENSG00000273055	cg00001510	5985456.66288789
ENSG00000102174	cg00003091	5984575.434041893
ENSG00000095587	cg00002810	5976062.283969406
ENSG00000088179	cg00004055	5969912.885743352
ENSG00000060642	cg00004072	5968012.089957714
ENSG00000095587	cg00003298	5954779.883059924
ENSG00000259883	cg00002236	5954626.698121545
ENSG00000266644	cg00003529	5941807.889090856
ENSG00000269148	cg00003202	5941557.945033737
ENSG00000267108	cg00000905	5933614.747979771
ENSG00000270469	cg00000905	5924307.631877373
ENSG00000167578	cg00004072	5917392.627105111
ENSG00000057294	cg00000165	5902526.055090356
ENSG00000214062	cg00004072	5897524.490413055
ENSG00000280159	cg00001249	5895148.491118674
ENSG00000057294	cg00002464	5894226.361758656
ENSG00000102174	cg00000165	5892009.635850312
ENSG00000266261	cg00000321	5888513.482520284
ENSG00000060642	cg00004067	5882535.685913632
ENSG00000161558	cg00002769	5876395.1407573735
ENSG00000182141	cg00002809	5876387.501839116
ENSG00000182141	cg00002597	5875315.088877599
ENSG00000167768	cg00001747	5871433.9257379435
ENSG00000161558	cg00000165	5869674.718486605
ENSG00000280038	cg00003287	5858102.977247359
ENSG00000182141	cg00002490	5855307.515256013
ENSG00000196167	cg00001364	5852335.945328915
ENSG00000167700	cg00003625	5842981.9017281085
ENSG00000275265	cg00003305	5834832.943812671
ENSG00000269148	cg00002837	5833337.084166321
ENSG00000146083	cg00001582	5825733.102462875
ENSG00000161558	cg00002719	5823273.283628663
ENSG00000215246	cg00002591	5808786.030516286
ENSG00000146083	cg00003287	5807062.817753578
ENSG00000270112	cg00001510	5792552.95896416
ENSG00000057294	cg00001582	5792552.643818137
ENSG00000271616	cg00000905	5789815.1209883
ENSG00000280159	cg00003994	5785641.210644975
ENSG00000172137	cg00000321	5781380.371444758
ENSG00000215246	cg00000721	5775182.806375613
ENSG00000227535	cg00003529	5774652.191205805
ENSG00000214198	cg00002490	5763829.213614282
ENSG00000280159	cg00001261	5741998.932831747
ENSG00000198242	cg00003513	5738338.678377854
ENSG00000095587	cg00002719	5738049.727831638
ENSG00000254131	cg00003305	5736297.382473624
ENSG00000280038	cg00003994	5734823.70065047
ENSG00000167768	cg00000622	5727934.72804889
ENSG00000153561	cg00003625	5726411.809693633
ENSG00000167768	cg00002597	5718048.708940535
ENSG00000269148	cg00001261	5717304.782562544
ENSG00000271616	cg00000165	5708054.026606433
ENSG00000167578	cg00004089	5678087.1866302425
ENSG00000206072	cg00003994	5673664.697729666
ENSG00000064601	cg00002930	5670218.396261082
ENSG00000179833	cg00001510	5668045.956276997
ENSG00000269416	cg00003345	5655867.314810273
ENSG00000057294	cg00002426	5630878.167945535
ENSG00000070087	cg00003969	5621333.567934858
ENSG00000263089	cg00000165	5612547.825446846
ENSG00000267108	cg00003305	5610282.4185920525
ENSG00000198242	cg00003287	5609211.916000177
ENSG00000161558	cg00000734	5603829.192223086
ENSG00000204113	cg00002116	5601538.465298567
ENSG00000172137	cg00000165	5591961.706436308
ENSG00000166391	cg00003298	5589177.306786646
ENSG00000064225	cg00001261	5586401.02434025
ENSG00000234900	cg00000924	5575457.450289669
ENSG00000153561	cg00000236	5574869.107408189
ENSG00000078237	cg00000769	5568875.265024259
ENSG00000158486	cg00000948	5567338.990335119
ENSG00000185105	cg00001583	5562575.036658348
ENSG00000167578	cg00001747	5551565.671750864
ENSG00000198242	cg00004072	5547660.4900905425
ENSG00000269416	cg00001809	5543437.781604651
ENSG00000134108	cg00004089	5530686.312477978
ENSG00000196167	cg00003994	5527524.607087632
ENSG00000266644	cg00003181	5526982.591400932
ENSG00000070081	cg00003173	5514089.978354894
ENSG00000127511	cg00003181	5505497.757913476
ENSG00000234900	cg00002426	5505482.632392503
ENSG00000273055	cg00003529	5499629.755803173
ENSG00000276644	cg00001582	5489207.519549424
ENSG00000158486	cg00003287	5483722.1905625425
ENSG00000057294	cg00002190	5480860.22550147
ENSG00000273055	cg00003091	5479704.433306389
ENSG00000276644	cg00003625	5471227.910016929
ENSG00000206072	cg00000769	5467884.347289595
ENSG00000060642	cg00003345	5457690.267195196
ENSG00000269148	cg00001249	5442062.071461123
ENSG00000078237	cg00003969	5434579.695761785
ENSG00000267108	cg00000734	5429330.2103644945
ENSG00000196167	cg00002719	5428482.370861812
ENSG00000185105	cg00002464	5424015.343277719
ENSG00000078237	cg00001245	5417789.363008826
ENSG00000275479	cg00002033	5407302.565948722
ENSG00000070081	cg00003181	5407153.329528844
ENSG00000275265	cg00000714	5403664.31083813
ENSG00000266644	cg00002808	5360303.240247374
ENSG00000275479	cg00003529	5358524.347705893
ENSG00000070087	cg00002490	5355338.346074201
ENSG00000266644	cg00001583	5352596.662892883
ENSG00000127511	cg00002593	5348952.852405463
ENSG00000258630	cg00003969	5344895.9498758
ENSG00000198242	cg00002809	5343156.983816037
ENSG00000276644	cg00001510	5342978.8542811945
ENSG00000240423	cg00001249	5340755.127738385
ENSG00000172137	cg00000658	5334226.4529423015
ENSG00000167578	cg00002531	5323258.560235816
ENSG00000095587	cg00002190	5311835.330275153
ENSG00000273406	cg00002593	5285037.159444819
ENSG00000254092	cg00002593	5279421.6229071105
ENSG00000167700	cg00000292	5276510.906805822
ENSG00000127511	cg00000622	5272152.010594029
ENSG00000240423	cg00003345	5267520.636018851
ENSG00000231105	cg00001349	5253201.912443936
ENSG00000167700	cg00002033	5252383.316277269
ENSG00000102174	cg00001809	5242229.575538888
ENSG00000102174	cg00000363	5225817.754322421
ENSG00000146083	cg00000714	5221328.297069404
ENSG00000161558	cg00002449	5213104.661077486
ENSG00000057294	cg00003091	5211534.59211998
ENSG00000064601	cg00004067	5207821.325807359
ENSG00000008517	cg00000905	5189360.033074379
ENSG00000060642	cg00003091	5182030.992048499
ENSG00000275265	cg00002236	5168345.351974494
ENSG00000134108	cg00004055	5161539.826960355
ENSG00000227766	cg00000658	5153261.735933864
ENSG00000166391	cg00000905	5143286.541486632
ENSG00000197421	cg00000292	5142853.597890265
ENSG00000060642	cg00000321	5137353.278216064
ENSG00000078237	cg00001349	5135666.236680687
ENSG00000179262	cg00002490	5132022.15597749
ENSG00000270469	cg00004089	5130339.013332138
ENSG00000182141	cg00000924	5126501.548058351
ENSG00000158486	cg00003305	5126464.832028033
ENSG00000227535	cg00003298	5125837.817032566
ENSG00000269148	cg00003305	5105763.673293877
ENSG00000271647	cg00002449	5097450.096139315
ENSG00000271647	cg00000948	5095291.443730876
ENSG00000231105	cg00001791	5091783.010832191
ENSG00000206072	cg00003202	5089198.999918839
ENSG00000153561	cg00003784	5075677.0979082985
ENSG00000179262	cg00000721	5071235.962926269
ENSG00000146083	cg00001261	5066721.596206977
ENSG00000185105	cg00000658	5050383.296166369
ENSG00000179833	cg00001261	5047232.501093846
ENSG00000158486	cg00002490	5029910.446563146
ENSG00000259883	cg00000165	5021589.758766009
ENSG00000179262	cg00003578	5017212.029605504
ENSG00000215246	cg00000321	5012153.313547359
ENSG00000060642	cg00000734	5001705.597834671
ENSG00000280159	cg00000165	4983531.280561278
ENSG00000259883	cg00002660	4982466.669998362
ENSG00000118972	cg00001582	4967349.78451354
ENSG00000204113	cg00001510	4955335.262477796
ENSG00000095587	cg00000321	4953554.2516871365
ENSG00000185105	cg00001446	4951916.4808468195
ENSG00000198242	cg00000957	4946580.470729616
ENSG00000231981	cg00000957	4937835.691520086
ENSG00000179833	cg00004055	4930820.687318472
ENSG00000179833	cg00002769	4916581.979802689
ENSG00000278732	cg00002426	4915571.1788147185
ENSG00000273406	cg00002490	4907356.565319258
ENSG00000179262	cg00000165	4902932.602879162
ENSG00000118972	cg00002145	4896998.666594266
ENSG00000070087	cg00000363	4890905.719843255
ENSG00000231105	cg00000292	4881104.146148166
ENSG00000008517	cg00002426	4874933.51741431
ENSG00000204113	cg00002033	4859486.706354508
ENSG00000158486	cg00004089	4832334.906810385
ENSG00000263089	cg00002930	4811941.575060293
ENSG00000146083	cg00002837	4809851.936692117
ENSG00000276644	cg00001791	4799838.315641028
ENSG00000275265	cg00003345	4794777.142654429
ENSG00000276644	cg00000236	4770015.146246613
ENSG00000198242	cg00003578	4749052.741556606
ENSG00000198242	cg00002145	4735792.278392283
ENSG00000161558	cg00001687	4732718.683681012
ENSG00000146083	cg00001687	4718842.1439777445
ENSG00000271647	cg00003173	4693564.899766029
ENSG00000269416	cg00002810	4693183.006301146
ENSG00000234943	cg00003513	4685670.256527732
ENSG00000134108	cg00002930	4681259.33542407
ENSG00000278732	cg00000714	4680958.544555865
ENSG00000196167	cg00000658	4680673.510666663
ENSG00000280159	cg00001510	4670682.393326174
ENSG00000254465	cg00002593	4662008.050513148
ENSG00000225269	cg00002597	4653393.465151047
ENSG00000185105	cg00002719	4650337.137786934
ENSG00000280159	cg00000714	4630520.567191461
ENSG00000242041	cg00003202	4624212.787080302
ENSG00000185105	cg00004089	4616660.758440014
ENSG00000242041	cg00001854	4611298.122490125
ENSG00000263089	cg00002660	4603253.746383205
ENSG00000095587	cg00000292	4599531.575853638
ENSG00000179262	cg00002808	4589857.810419492
ENSG00000166391	cg00001687	4583788.083367066
ENSG00000167578	cg00003181	4579843.814141869
ENSG00000057294	cg00000924	4554138.989178321
ENSG00000008517	cg00002593	4533766.162020405
ENSG00000127511	cg00001510	4531539.87533852
ENSG00000234900	cg00002660	4527858.304263692
ENSG00000278099	cg00003345	4526763.156280551
ENSG00000276644	cg00000658	4526258.178405881
ENSG00000270469	cg00003784	4524057.476953475
ENSG00000267108	cg00001809	4512295.619916298
ENSG00000179262	cg00000236	4511015.893925737
ENSG00000273406	cg00004055	4507416.506538577
ENSG00000214198	cg00001510	4502619.274118826
ENSG00000258630	cg00002531	4490482.496970056
ENSG00000185105	cg00000905	4488689.252162551
ENSG00000275479	cg00003091	4487772.371593392
ENSG00000231105	cg00002930	4473872.868858645
ENSG00000269416	cg00002190	4460762.389640627
ENSG00000095587	cg00000948	4449027.413271232
ENSG00000057294	cg00001446	4444246.02571338
ENSG00000231981	cg00002490	4428447.447471387
ENSG00000158486	cg00001583	4428135.3590542
ENSG00000179262	cg00001583	4419809.457238459
ENSG00000276644	cg00001446	4416382.951994831
ENSG00000275265	cg00002646	4414410.908885457
ENSG00000166391	cg00004055	4385188.30175289
ENSG00000270469	cg00000734	4384048.510248556
ENSG00000273406	cg00001364	4368269.63461005
ENSG00000102174	cg00002406	4355708.918632133
ENSG00000258630	cg00002224	4351206.594767165
ENSG00000273055	cg00002406	4347424.057710301
ENSG00000254092	cg00002837	4340042.412863156
ENSG00000214198	cg00000363	4336446.428044097
ENSG00000060642	cg00001349	4314579.084615565
ENSG00000127511	cg00002236	4285085.314682639
ENSG00000214062	cg00000289	4284063.708483296
ENSG00000196167	cg00000948	4266992.684708997
ENSG00000269416	cg00003994	4265669.72793517
ENSG00000070081	cg00001446	4258009.079372834
ENSG00000236040	cg00000321	4248616.472301226
ENSG00000134108	cg00000734	4229037.522566666
ENSG00000280038	cg00000165	4221791.487628642
ENSG00000153561	cg00001809	4212114.378569863
ENSG00000161558	cg00002033	4200689.758683808
ENSG00000088179	cg00001446	4189683.941243988
ENSG00000259883	cg00000236	4168286.9418701376
ENSG00000227766	cg00002449	4164771.3049149406
ENSG00000215246	cg00002033	4152690.6685299654
ENSG00000259883	cg00004089	4147064.357616801
ENSG00000161558	cg00003578	4146972.6378461765
ENSG00000064601	cg00003202	4141782.081979841
ENSG00000214062	cg00004055	4139263.07958144
ENSG00000095587	cg00004055	4134993.089358243
ENSG00000269416	cg00003529	4130368.8911425113
ENSG00000064225	cg00003091	4121339.7142953384
ENSG00000158486	cg00002809	4113632.555709157
ENSG00000269416	cg00000292	4110685.6979807015
ENSG00000078237	cg00000734	4094471.3311485383
ENSG00000275265	cg00002837	4094325.711417783
ENSG00000269416	cg00001446	4077149.271717261
ENSG00000275479	cg00001349	4071477.8109705807
ENSG00000274219	cg00001364	4063158.903001809
ENSG00000240423	cg00003173	4062899.7677448443
ENSG00000127511	cg00001583	4041735.385592462
ENSG00000153561	cg00002837	4016164.806560234
ENSG00000276644	cg00002808	4013218.7555263066
ENSG00000276644	cg00003287	3997563.8376901164
ENSG00000240423	cg00002033	3997227.9903173437
ENSG00000167768	cg00000769	3991124.2027028752
ENSG00000280159	cg00000734	3987992.251433116
ENSG00000185105	cg00000924	3987948.161076953
ENSG00000259883	cg00003994	3986452.372508628
ENSG00000275265	cg00000321	3973324.4489786103
ENSG00000185105	cg00002597	3961554.7045394382
ENSG00000280038	cg00003513	3958638.635550694
ENSG00000275265	cg00001687	3957715.7350119245
ENSG00000275265	cg00002769	3947219.809645349
ENSG00000008517	cg00002810	3945926.0954016577
ENSG00000240423	cg00002531	3928874.806743387
ENSG00000070087	cg00004089	3928331.666694051
ENSG00000070087	cg00000948	3921009.4242892
ENSG00000263089	cg00000924	3915163.5769594572
ENSG00000166391	cg00002660	3912013.341879067
ENSG00000214198	cg00002597	3911655.9776273253
ENSG00000214062	cg00003305	3898774.6960076173
ENSG00000236040	cg00003513	3891585.7381441654
ENSG00000064225	cg00002116	3857729.5864200215
ENSG00000167578	cg00000321	3854871.2277978864
ENSG00000179833	cg00000165	3843141.709765938
ENSG00000064225	cg00003994	3827050.492761356
ENSG00000227766	cg00003345	3814965.018980078
ENSG00000240423	cg00003298	3800981.557401755
ENSG00000179833	cg00003091	3794440.2634125506
ENSG00000060642	cg00002145	3773006.6573430747
ENSG00000227766	cg00002837	3766988.0627968507
ENSG00000127511	cg00001582	3755772.7100073625
ENSG00000215246	cg00001687	3737671.8108210857
ENSG00000266644	cg00001687	3720485.942372601
ENSG00000275265	cg00003513	3715469.2331760274
ENSG00000234900	cg00004072	3714032.851913555
ENSG00000127511	cg00001261	3713561.921501699
ENSG00000233540	cg00003305	3706176.257877428
